song_number,song_title,song_lyrics
224,إن تبعنا الحبيب,"224
مقام:
ميزان:
نظم: (8)
مَا أَحْلَى فَادِيَّ الْكَرِيمْ
نَعَمْ وَمَا أَطْيَبَهُ
وَكُلُّ قَلْبٍ مُسْتَقِيمْ
مِنْ خَيْرِهِ يُشْبِعُهُ
يَا رَبُّ سُدْ أَنْتَ عَلَى
شُعُورِي وَعَوَاطِفِي
وَلْتَنْظُرَنْ عَيْنِي إِلَيْكْ
فِي أَحْرَجِ الْمَوَاقِفِ
يَا رَبُّ حَوِّلْ نَظَرِي
عَنْ كُلِّ مَنْظَرٍ هُنَا
فَكُلُّ مَنْظَرٍ سِوَاكْ
فِيهِ الْمَرَارُ وَالْعَنَا
دَعْنِي أَعِيشُ فِي رِضَاكْ
وَأَسْتَمِرُّ فِي الْجِهَادْ
عَيْنِي إِلَيْكَ لا سِوَاكْ
حَتَّى أَفُوزَ بِالْمُرَادْ
إِنَّ حَيَاتِي الْمُتْعَبَه
سَتَنْتَهِي بَعْدَ الْقَلِيلْ
يَا نَفْسِي كُونِي شَاكِرَه
وَصَابِرَه الصَّبْرَ الْجَمِيلْ
وَعَنْ قَرِيبٍ تُلاَقِينْ
فِي السُّحْبِ فَادِيكِ الْوَدُودْ
وَلَهُ دَوْمًا تَشْكُرِينْ
هُنَاكَ فِي دَارِ الْخُلُودْ
الكلمات:
الناظم:
اللحن:"
225,ما أعظم الحب السني,"مَا أَعْظَمَ الْحُبَّ السَّنِيّ
مِنْ خَالِقٍ لَمْ يَنْسَنِي
أَخْلَى الشَّرِيفُ نَفْسَهُ
مُفْتَقِرًا وَهْوَ الْغَنِيّ
يَا مَنْ سَمِعْتُمُ النِّدَا
يَا مَنْ أَخَذْتُمُ الْهُدَى
يَا مَنْ قَبِلْتُمُ الْفِدَا
حُبُّوا كَمَا أُحْبِبْتُمُ
رُدُّوا عَلَى الآبِ الصَّدَى
أَعْطُوا كَمَا أُعْطِيتُمُ
لا كِبْرِيَاءَ لا حَسَدْ
لا ظَنَّ سُوءٍ فِي أَحَدْ
بَلْ بَرَكَاتٌ وَمَدَدْ
فِي الْحُبِّ مَا طَالَ الأَمَدْ
يَا مَنْ سَمِعْتُمُ النِّدَا
يَا مَنْ أَخَذْتُمُ الْهُدَى
يَا مَنْ قَبِلْتُمُ الْفِدَا
حُبُّوا كَمَا أُحْبِبْتُمُ
رُدُّوا عَلَى الآبِ الصَّدَى
أَعْطُوا كَمَا أُعْطِيتُمُ
فِي الْحُبِّ تَصْدِيقُ الْمَقَالْ
فِي الْحُبِّ صَبْرٌ وَاحْتِمَالْ
الْحُبُّ إِكْلِيلُ الْجَمَالْ
فَضْلٌ وَمَجْدٌ لا يُزَالْ
يَا مَنْ سَمِعْتُمُ النِّدَا
يَا مَنْ أَخَذْتُمُ الْهُدَى
يَا مَنْ قَبِلْتُمُ الْفِدَا
حُبُّوا كَمَا أُحْبِبْتُمُ
رُدُّوا عَلَى الآبِ الصَّدَى
أَعْطُوا كَمَا أُعْطِيتُمُ"
226,يسوع ربي قد حباني,"226
مقام:
ميزان:
نظم: (8و7)
رَبَّنَا يَسُوعُ نُهْدِي
لاِسْمِكَ السَّامِي الْعَجِيبْ
كُلَّ شُكْرٍ وَسُجُودٍ
وَثَنَاءٍ يَا حَبِيبْ
لَيْسَ حُبٌّ مِثْلَ حُبٍّ
مِنْكَ نَحْوَنَا ظَهَرْ
إِذْ قَضَيْتَ بِسُرُورٍ
يَا مُحِبًّا لِلْبَشَرْ
مِنْ خَطَايَانَا غُسِلْنَا
بِالدَّمِ الزَّكِيّ الْكَرِيمْ
وَمُلُوكًا قَدْ جُعِلْنَا
لإِلَهِنَا الْعَظِيمْ
نَكْسِرُ الْخُبْزَ بِشُكْرٍ
طَالَمَا أَنْتَ هُنَاكْ
نَتَرَجَّى أَنْ تَجِيءَ
عَنْ قَرِيبٍ فَنَرَاكْ
الكلمات:
الناظم:
اللحن:"
227,لا بد يوماً تنتهي,"227
الكلمات: Fanny Crosby
الناظم: أمين فارس
اللحن: George Coles Stebbins
اسم اللحن: مخلص بالنعمة saved by grace
Some day the silver cord will break
مقام: Eb – F
ميزان: 3/4
نظم: (8)
لا بُدَّ يَوْمًا تَنْتَهِي
فِي ذِي الدِّيَارِ غُرْبَتِي
وَعِنْدَ ذَا مَعْ سَيِّدِي
أُوجَدُ يَا لَبَهْجَتِي
وَجْهًا لِوَجْهٍ سَأَرَاه
وَجْهًا لِوَجْهٍ فِي سَمَاه
أَشْدُو بِمِلْءِ الْبَهْجَةِ:
”مُخَلَّصٌ بِالنِّعْمَةِ“
فَخَيْمَتِي قَدْ تُنْقَضُ
يَوْمًا وَلا أَدْرِي مَتَى
لَكِنَّ فَوْقُ فِي السَّمَا
أَعَدَّ رَبِّي لِي بِنَا
وَجْهًا لِوَجْهٍ سَأَرَاه
وَجْهًا لِوَجْهٍ فِي سَمَاه
أَشْدُو بِمِلْءِ الْبَهْجَةِ:
”مُخَلَّصٌ بِالنِّعْمَةِ“
يَبْطُلُ شَدْوِي حِينَمَا
يُسْحَقُ كُوزُ الذَّهَبِ
لَكِنَّ شَدْوِي فِي السَّمَا
يَبْقَى فَيَا لَطَرَبِي
وَجْهًا لِوَجْهٍ سَأَرَاه
وَجْهًا لِوَجْهٍ فِي سَمَاه
أَشْدُو بِمِلْءِ الْبَهْجَةِ:
”مُخَلَّصٌ بِالنِّعْمَةِ“
نَفْسِي إِلَى مُخَلِّصِي
إِذْ يُفْتَحُ الْبَابُ تَطِيرْ
لِذَاكَ أَقْضِي سَاهِرًا
عُمْرِي وَمِصْبَاحِي مُنِيرْ
وَجْهًا لِوَجْهٍ سَأَرَاه
وَجْهًا لِوَجْهٍ فِي سَمَاه
أَشْدُو بِمِلْءِ الْبَهْجَةِ:
”مُخَلَّصٌ بِالنِّعْمَةِ“"
228,فاق الكل ذا الخليل,"228
مقام:
ميزان:
نظم: (7و6)
يَا رَبَّنَا يَسُوعُ حَبِيبَنَا الأَمِينْ
نُفُوسُنَا تَطِيبُ بِحُبِّكَ الثَّمِينْ
لأَنَّكَ دَوَامًا لَنَا نِعْمَ الْمُعِينْ
وَسَامِعُ الصَّلاَةِ فَإِنَّكَ أَمِينْ
(ثِقُوا هُوَ يُجِيبْ)3
دُعَاءَ الْقِدِّيسِينْ
يَا شَعْبَ الرَّبِّ اُذْكُرْ خَلاَصَهُ الْعَجِيبْ
فَإِنَّهُ فَدَاكَ بِعَمَلِ الصَّلِيبْ
فَهَلْ عَلَيْهِ تَصْعُبْ مَتَاعِبُ الْحَيَاهْ
وَهْوَ الَّذِي يُسَكِّنْ بِأَمْرِهِ الْمِيَاهْ
(ثِقُوا هُوَ يُجِيبْ)3
دُعَاءَ الْقِدِّيسِينْ
لَيْسَ لَهُ نَظِيرُ مِنْ مُنْقِذٍ رَفِيقْ
مُخَلِّصٍ وَمُرْشِدْ لَنَا كُلَّ الطَّرِيقْ
وَهْوَ آتٍ سَرِيعًا نَلْقَاهُ فِي السَّحَابْ
لِرَاحَةٍ سَنَدْخُلْ وَتَنْتَهِي الأَتْعَابْ
(ثِقُوا هُوَ يُجِيبْ)3
دُعَاءَ الْقِدِّيسِينْ"
229,أنت لي رجاي,"229
مقام:
ميزان:
نظم: (9و6)
مَنْ يَعِيشُ بِسِتْرِ الْقَدِيرْ
سَاكِنًا تَحْتَ ظِلِّ حِمَاهْ
فَلَهُ الرَّبُّ عَوْنٌ نَصِيرْ
وَإِلَهٌ وَحِصْنٌ وَجَاهْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
لا يُصَابُ بِأَيِّ ضَرَرْ
مِنْ مُصَابٍ أَتَى أَوْ دَمَارْ
أَوْ وَبَاءٍ يُصِيبُ الْبَشَرْ
حِصْنُهُ الرَّبُّ لَيْلَ نَهَارْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
قُلْتَ: ”رَبِّي رَجَائِي الْعَظِيمْ“
وَجَعَلْتَ الْعَلِيَّ حِمَاكْ
لاَ يُلاقِيكَ شَرٌّ ذَمِيمْ
لا وَلا ضَرْبَةٌ أَوْ هَلاكْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
فَهْوَ يُوصِي جُنُودَ السَّمَا
بِكَ كَيْ يَحْرُسُوا طُرْقَكَ
لَنْ تُصَابَ وَلَنْ تُصْدَمَا
فَالْمَلائِكُ تَحْمِلُكَ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
قَدْ تَعَلَّقَ بِي كُلَّ حِينْ
فَلِذَاكَ لَهُ أَسْتَجِيبْ
مَعْهُ أَبْقَى بِطُولِ السِّنِينْ
وَأُرِيهِ خَلاصِي الْعَجِيبْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ
أَنْتَ لِي يَا رَجَايْ
أَنْتَ حِصْنِي وَفِيكَ احْتِمَايْ"
230,حبيبي فتى مثل أرز لبنان,"230
مقام:
ميزان:
نظم: (11و8)
حَبِيبِي فَتًى مِثْلُ أَرْزِ لُبْنَانْ
سَاقَاهُ عَمُودَا رُخَامْ
بَدِيعُ الْجَمَالِ وَحُلْوُ اللِّسَانْ
وَيُدْعَى رَئِيسَ السَّلاَمْ
فِي ظِلِّ حَبِيبِي اشْتَهَيْتُ الْجُلُوسْ
وَإِلَيْهِ حَنَّ الْفُؤَادْ
مُرِيحُ التَّعَابَى مُعَزِّي النُّفُوسْ
وَيَرْثِي لِضَعْفِ الْعِبَادْ
مَتَى يَتَحَقَّقُ هَذَا الرَّجَاءْ
وَأَسْمَعُ صَوْتَ الْهُتَافْ
وَتَنْظُرُ عَيْنَايَ رَبَّ الْفِدَاءْ
وَيَأْتِي أَوَانُ الزِّفَافْ"
231,حبك يا ربي المجيد,"231
مقام: F
ميزان: 3/2
نظم: (8)
مَا أَبْهَجَ الْيَوْمَ الَّذِي
آمَنْتُ فِيهِ بِالْمَسِيحْ
أَضْحَى سُرُورِي كَامِلاً
وَرَنَّ صَوْتِي بِالْمَدِيحْ
حُبُّكَ يَا رَبِّي الْمَجِيدْ
قَدْ صَارَ لِي أَحْلَى نَشِيدْ
عُمْرٌ جَدِيدْ يَوْمٌ سَعِيدْ
يَوْمُ ارْتِبَاطِي بِالْوَحِيدْ
بِجَاذِبِ الْحُبِّ أَتَى
فَيَا لَحُبٍّ بَاهِرِ
وَرَدَّنِي إِلَى الْهُدَى
بِفَضْلِ دَمٍ طَاهِرِ
حُبُّكَ يَا رَبِّي الْمَجِيدْ
قَدْ صَارَ لِي أَحْلَى نَشِيدْ
عُمْرٌ جَدِيدْ يَوْمٌ سَعِيدْ
يَوْمُ ارْتِبَاطِي بِالْوَحِيدْ
سَعَادَةٌ مِنَ السَّمَا
قَدْ بَدَّدَتْ حُزْنِي الْكَثِيرْ
طُوبَاكَ يَا قَلْبِي ابْتَهِجْ
بِالرَّبِّ يَسُوعَ الْقَدِيرْ
حُبُّكَ يَا رَبِّي الْمَجِيدْ
قَدْ صَارَ لِي أَحْلَى نَشِيدْ
عُمْرٌ جَدِيدْ يَوْمٌ سَعِيدْ
يَوْمُ ارْتِبَاطِي بِالْوَحِيدْ
يَا رَبُّ كَرِّسْنِي وَكُنْ
مُمْتَلِكًا إِرَادَتِي
دَرِّبْ حَيَاتِي سَيِّدِي
فِي مَنْهَجِ الْقَدَاسَةِ
حُبُّكَ يَا رَبِّي الْمَجِيدْ
قَدْ صَارَ لِي أَحْلَى نَشِيدْ
عُمْرٌ جَدِيدْ يَوْمٌ سَعِيدْ
يَوْمُ ارْتِبَاطِي بِالْوَحِيدْ"
232,رجاء نفسي وحده,"232
The Solid Rock
---------------------
كتبها: Edward Mote
لحنها: William Batchelder Bradbury
مقام: F
ميزان: 3/4
نظم: (8)
رَجَاءُ نَفْسِي وَحْدَهُ
دَمُ يَسُوعَ وَاسْمُهُ
لَيْسَ خَلاَصٌ بِسِوَاهْ
فَشَخْصُهُ يُعْطِي الْحَيَاهْ
مَسِيحِي صَخْرِي لا يُزَالْ
وَغَيْرُهُ الْكُلُّ رِمَالْ
فَحِينَمَا الْجَوُّ يَغِيمْ
نُعْمَاهُ رَبِّي لِي يُدِيمْ
وَفِي اشْتِدَادِ الْعَاصِفَهْ
مِرْسَاةُ نَفْسِي ثَابِتَهْ
مَسِيحِي صَخْرِي لا يُزَالْ
وَغَيْرُهُ الْكُلُّ رِمَالْ
وَإِذْ بِنَفْسِهِ يَعُودْ
تَتِمُّ لِي كُلُّ الْوُعُودْ
وَحُبُّ رَبِّي لاَ سِوَاهْ
يَبْقَى نَشِيدِي فِي سَمَاهْ
مَسِيحِي صَخْرِي لا يُزَالْ
وَغَيْرُهُ الْكُلُّ رِمَالْ"
233,نفسي اسهري وواظبي,"233
مقام: Ab
ميزان: 3/4
نظم: (8و6)
نَفْسِي اسْهَرِي وَوَاظِبِي
دَوْمًا عَلَى الصَّلاَهْ
فَهْيَ سِلاَحُ حَرْبِنَا
وَقُوَّةُ الْحَيَاهْ
تَفْتَحُ أَبْوَابَ السَّمَا
وَنَرْتَقِي بِهَا
لِعَرْشِ نِعْمَةِ الْقَوِيّ
بِسِرِّ فِعْلِهَا
هِيَ بَخُورٌ صَاعِدٌ
فِي هَيْكَلِ الْقُدْسِ
بَلِ الذَّبِيحَةُ الَّتِي
تَرْفَعُهَا نَفْسِي
يَشْتَمُّهَا إِلَهُنَا
وَعَرْفُهَا كَالطِّيبْ
فَعِنْدَهُ تَلْقَى الرِّضَا
وَفِعْلُهَا عَجِيبْ
تَحْطِمُ قُوَّةَ الْعِدَى
وَتُبْطِلُ الْخِصَامْ
تَغْلِبُ فِي جِهَادِهَا
وَتُوجِدُ السَّلاَمْ
يَا قَلْبُ فِي كُلِّ الأُمُورْ
دَاوِمْ عَلَى الدُّعَاءْ
صَبَاحُكَ ابْدَأْهُ بِهِ
وَاخْتِمْ بِهِ الْمَسَاءْ"
234,عما قريب يدوي بوق,"234
مقام: Dm
ميزان: 4/4
نظم: (9و8)
عَمَّا قَرِيبٍ يَدْوِي بُوقٌ
وَيَهْتِفُ جُنْدُ السَّمَاءْ
يَسُوعُ آتٍ بِجَلاَلِهْ
هَيَّا اصْعَدُوا إِلَى الْهَوَاءْ
يَا لَهُ مَشْهَدًا بَدِيعًا
بِهِ سَتَفْرَحُ النُّفُوسْ
يَسُوعُ آتٍ بِهُتَافٍ
لِيَأْخُذَ لَهُ الْعَرُوسْ
يُقَامُ فِي الْمَجْدِ الْبَهِيِّ
عَشَاءُ عُرْسٍ لِلْخَرُوفْ
وَرَبَوَاتٌ تُهْدِي حَمْدًا
وَلَهُ تَسْجُدُ الأُلُوفْ
يَا لَهُ مَشْهَدًا بَدِيعًا
بِهِ سَتَفْرَحُ النُّفُوسْ
يَسُوعُ آتٍ بِهُتَافٍ
لِيَأْخُذَ لَهُ الْعَرُوسْ
وَحَوْلَهُ سَنَبْقَى دَوْمًا
مُهَلِّلِينَ هَاتِفِينْ
يُشْبِعُنَا مَعًا جَمَالُهْ
إِلَى آبَادِ الآبِدِينْ
يَا لَهُ مَشْهَدًا بَدِيعًا
بِهِ سَتَفْرَحُ النُّفُوسْ
يَسُوعُ آتٍ بِهُتَافٍ
لِيَأْخُذَ لَهُ الْعَرُوسْ"
235,اهد نفسي يا يسوع,"235
Jesus, Savior, Pilot Me
---------------------
كتبها: Edward Hopper
نظمها: إبراهيم سركيس
لحنها: John Edgar Gould
مقام: Bb
ميزان: 3/4
نظم: (7)
اِهْدِ نَفْسِي يَا يَسُوعْ
عَابِرًا وَادِي الدُّمُوعْ
فِي اضْطِرَابَاتِ الْحَيَاهْ
أَنْتَ صَخْرٌ لِلنَّجَاهْ
أَنْتَ مُرْشِدُ الْجُمُوعْ
اِهْدِ نَفْسِي يَا يَسُوعْ
لَكَ عِزٌّ وَاقْتِدَارْ
مُسْكِتٌ مَوْجَ الْبِحَارْ
تَخْضَعُ الأَنْوَاءُ لَكْ
وَالأَرَاضِي وَالْفَلَكْ
يَا مُخَلِّصَ الْجُمُوعْ
اِهْدِ نَفْسِي يَا يَسُوعْ
حِينَمَا يَدْنُو الْخِتَامْ
وَأَرَى شَطَّ السَّلاَمْ
عَلَى صَدْرِكَ الرَّحِيبْ
أُلْقِي نَفْسِي يَا حَبِيبْ
وَفِي هَاتِيكَ الرُّبُوعْ
أَبْقَى مَعْكَ يَا يَسُوعْ"
236,طوبى لمن قد غُفرت,"236
مقام:
ميزان:
نظم: (8و6)
طُوبَى لِمَنْ قَدْ غُفِرَتْ
لَهُمْ ذُنُوبُهُمْ
وَلِلَّذِينَ سُتِرَتْ
أَيْضًا عُيُوبُهُمْ
فَلَسْتُ بِالنَّامُوسِ قَدْ
صِرْتُ مُبَرَّرَا
بَلْ بِكَ وَحْدَكَ فَقَطْ
صِرْتُ مُطَهَّرَا
قَدْ ظَهَرَ الْبِرُّ وَمَا
عَدَاهُ عَاطِلٌ
وَكُلُّ سَعْيٍ فِي نَوَالِ
الْبِرِّ بَاطِلٌ
قَدْ صِرْتَ بِرِّي وَلِذَا
أَذْكُرُ عَمَلَكْ
أَنْتَ الَّذِي جَعَلْتَنِي
حَيًّا فَأَحْيَا لَكْ
وَعِنْدَمَا أَنْطَلِقُ
مِنْ هَذِهِ الدُّنْيَا
يَبْقَى سُرُورِي مَعَكَ
فِي الرَّاحَةِ الْعُلْيَا"
237,حين أرى صليب من,"237
مقام: D
ميزان: 3/4
نظم: (8)
حِينَ أَرَى صَلِيبَ مَنْ
قَضَى فَحَازَ الاِنْتِصَارْ
رِبْحِي أَرَى خَسَارَةً
وَكُلَّ مَجْدِ الْكَوْنِ عَارْ
يَا رَبِّي لاَ تَسْمَحْ بِأَنْ
أَفْخَرَ إِلاَّ بِالصَّلِيبْ
مُكَرِّسًا نَفْسِي وَمَا
أَمْلِكُ لِلْفَادِي الْحَبِيبْ
أَيُّ دَمٍ زَاكٍ جَرَى
كَدَمِهِ الزَّكِي الثَّمِينْ
وَأَيُّ تَاجٍ مِثْلُ تَاجِ
الشَّوْكِ كَلَّلَ الْجَبِينْ
بِمَ أُكَافِي مُنْقِذِي
مِنْ سُلْطَةِ الْخَطِيَّةِ
إِلاَّ بِتَكْرِيسِي لَهُ
نَفْسِي وَكُلَّ قُوَّتِي"
238,إلهنا وربنا,"238
مقام:
ميزان:
نظم: (8)
إِلَهَنَا وَرَبَّنَا
فِي ابْنِكَ قَدْ أَحْبَبْتَنَا
مُبَارَكٌ أَنْتَ بِهِ
إِذْ فِيهِ قَدْ بَارَكْتَنَا
كَانَ فِي قَصْدِكَ الْعَجِيبْ
أَبَانَا أَنْ تَأْتِي بِنَا
إِلَى مَحْضَرِكَ الْمَهِيبْ
بِالنِّعْمَةِ تُحْضِرُنَا
فَيَا لَهَا مِنْ نِعْمَةٍ
فَاقَتْ عَلَى كُلِّ بَيَانْ
كَامِلَةٍ مُطْلَقَةٍ
لَمْ تَتَعَلَّقْ بِالزَّمَانْ
إِذْ فِيهِ قَدِ اخْتَرْتَنَا
حَتَّى نَكُونَ قِدِّيسِينْ
وَفِيهِ قَدْ دَعَوْتَنَا
وَبِهِ قَدْ صِرْنَا بَنِينْ
أَمْجَادُكَ أَفْرَاحُكَ
وَكُلُّ غِنَى بَيْتِكَ
جَمِيعُهَا صَارَتْ لَنَا
أَبَانَا فِي مَحْبُوبِكَ
فَالْمَجْدُ لاسْمِكَ الْكَرِيمْ
فِي الرَّبِّ يَسُوعَ الْمَسِيحْ
وَالْحَمْدُ وَالثَّنَا الْعَظِيمْ
مَعَ السُّجُودِ وَالْمَدِيحْ"
239,بشرى لنا بشرى لنا,"239
مقام:
ميزان:
نظم: (8)
بُشْرَى لَنَا بُشْرَى لَنَا
فَاللهُ قَدْ أَحَبَّنَا
وَالاِبْنُ وَافَى أَرْضَنَا
مَاتَ هُنَا لأَجْلِنَا
وَالآبُ فِي أَعْلَى السَّمَا
فِي ابْنِهِ قَدْ بَارَكَنَا
مَقَامُنَا فِيهِ سَمَا
وَكُلُّ مَا لَهُ لَنَا
يَا حَبَّذَا لَوْ نَكْتَفِي
بِمَا لَنَا وَنَقْنَعُ
نَعِيشُ بِالْقَلْبِ النَّقِيّ
وَبِالْمَسِيحِ نَشْبَعُ
طُوبَى لَنَا إِذًا عَلَى
هَذَا النَّصِيبِ الْمُسْتَطَابْ
فَعَنْ قَرِيبٍ بِاللِّقَا
نَرَاهُ فِي أَوْجِ السَّحَابْ
أَتْعَابُنَا سَتَنْتَهِي
وَالْحَرْبُ أَيْضًا لاَ تَعُودْ
وَنَحْنُ فِي الْمَجْدِ الْبَهِيّ
نَفْرَحُ بِالرَّبِّ الْوَدُودْ
فَاقْبَلْ أَبَانَا حَمْدَنَا
سُجُودَنَا فِي اسْمِ الْحَبِيبْ
وَامْلأْ بِهِ قُلُوبَنَا
حَتَّى يَجِيءَ عَنْ قَرِيبْ
الكلمات:
الناظم:
اللحن:"
240,قد ناب عنا ربنا,"240
مقام:
ميزان:
نظم: (8و6)
قَدْ نَابَ عَنَّا رَبُّنَا
لِلْمَوْتِ كَالْحَمَلْ
عَلَيْهِ ذَنْبُنَا وُضِعْ
وَهْوَ قَدِ احْتَمَلْ
قَدْ كُنَّا أَبْنَاءَ الْغَضَبْ
بِالطَّبْعِ كَالْبَاقِينْ
فَبِهِ قَدْ نِلْنَا الرِّضَى
وَنِسْبَةِ الْبَنِينْ
فَكُلُّنَا مُخَلَّصُونَ
الآنَ بِالنِّعْمَهْ
وَمَا لَنَا فَخْرٌ سِوَى
فِي وَاسِعِ الرَّحْمَهْ
نَحْنُ الَّذِينَ سَابِقًا
كُنَّا بِلاَ إِلَهْ
عَنِ الْعُهُودِ غُرَبَا
وَأُمَمًا خُطَاهْ
مَا أَوْسَعَ الْحُبَّ وَمَا
أَعْلَى وَأَعْمَقَا
لاَ ذِكْرَ فِيهِ لِلْخَطَا
وَالشَّرِّ مُطْلَقَا
وَفِي الدُّهُورِ الآتِيَهْ
سَيُظْهِرُ غِنَاهْ
فِي رَبِّنَا الَّذِي لَنَا
بِمَوْتِهِ الْحَيَاهْ
الكلمات:
الناظم:
اللحن:"
241,صوت يسوع الحلو قد,"241
مقام: Fm
ميزان: 4/4
نظم: (8و6)
صَوْتَ يَسُوعَ الْحُلْوَ قَدْ سَمِعْتُ قَائِلاً:
”أَقْبِلْ إِلَيَّ تَنَلِ الرَّاحَةَ عَاجِلاً“
فَجِئْتُهُ كَمَا أَنَا ذَا حَزَنٍ مُتْعَبْ
فَتَمَّ لِي مِنْ بَهْجَتِي وَرَاحَتِي الْمَطْلَبْ
سَمِعْتُ صَوْتَهُ يُذِيعُ الْقَوْلَ إِعْلاَنَا:
”مَاءُ الْحَيَاةِ إِنَّنِي أُعْطِيهِ مَجَّانَا
تَعَالَ يَا عَطْشَانُ وَاشْرَبْ وَاغْنَمِ الْحَيَاهْ“
فَجِئْتُهُ حَالاً وَقَدْ شَرِبْتُ مِنْ مَجْرَاهْ
صَوْتُ يَسُوعَ الْحُلْوُ قَدْ سَمِعْتُهُ إِذْ قَالْ:
”إِنِّيَ نُورُ الْعَالَمِ الْمُظْلِمِ يَا ذَا الضَّالّ
وَجَدْتُهُ نُورًا عَظِيمًا سَاطِعًا بَهَرْ
بِنُورِهِ أَجْرِي إِلَى نِهَايَةِ السَّفَرْ
الكلمات:
الناظم:
اللحن:"
242,الله قد أقامنا,"242
مقام:
ميزان:
نظم: (8)
اللهُ قَدْ أَقَامَنَا
إِذْ كُنَّا أَمْوَاتًا خُطَاهْ
حَتَّى هَكَذَا نَسْلُكُ
دَوْمًا فِي جِدَّةِ الْحَيَاهْ
نَسْلُكُ فِي طُرْقِ الْكَمَالْ
نَتْبَعُ خُطْوَاتِ الْحَبِيبْ
وَنُخْبِرُ بِفَضْلِ مَنْ
دَعَانَا لِلنُّورِ الْعَجِيبْ
حَيَاتُنَا لَيْسَتْ لَنَا
إِذِ اشْتَرَانَا رَبُّنَا
فَلْنَحْيَ لِمَجْدِ الَّذِي
قَدِ افْتَدَانَا كُلَّنَا
وَلْنَنْمُ فِي مَعْرِفَةِ
الرَّبِّ وَفَادِينَا الْحَبِيبْ
وَلْنَحْيَ بِالْقَدَاسَةِ
فَالرَّبُّ آتٍ عَنْ قَرِيبْ
وَلْنَعْبُدِ الرَّبَّ مَعًا
مَا دُمْنَا هُنَا غُرَبَا
وَلْنَنْتَظِرْ فِي كُلِّ حِينْ
مَجِيئَهُ مِنَ السَّمَا
وَمَتَى أُظْهِرَ الْمَسِيحْ
فَمِثْلَهُ سَنُظْهَرُ
وَمَنْ لَهُ هَذَا الرَّجَا
فَنَفْسَهُ يُطَهِّرُ
الكلمات:
الناظم:
اللحن:"
243,إن خصم النفس يشهر,"243
مقام: C
ميزان: 4/4
نظم: (8و5)
إِنَّ خَصْمَ النَّفْسِ يَشْهَرْ
صَارِمَ الْقِتَالْ
وَهْوَ كَالأَسَدِ يَزْأَرْ
يَبْتَغِي النِّزَالْ
هَا الْمَسِيحُ الرَّبُّ قَادِمْ
فَاحْفَظُوا الْحُصُونْ
لاَ تَخَافُوا مِنْ مُهَاجِمْ
ظَالِمٍ خَؤُونْ
إِنَّ أَعْدَاءَ الصَّلاَحِ
فِي الْوَغَى أُسُودْ
فَعَلَيْكُمْ بِالسِّلاَحِ
أَيُّهَا الْجُنُودْ
هَا الْمَسِيحُ الرَّبُّ قَادِمْ
فَاحْفَظُوا الْحُصُونْ
لاَ تَخَافُوا مِنْ مُهَاجِمْ
ظَالِمٍ خَؤُونْ
حَرْبُنَا الْعُظْمَى تَشُبُّ
كَاللَّظَى الشَّدِيدْ
إِنَّمَا الْفَادِي الْمُحِبُّ
قَائِدٌ مَجِيدْ
هَا الْمَسِيحُ الرَّبُّ قَادِمْ
فَاحْفَظُوا الْحُصُونْ
لاَ تَخَافُوا مِنْ مُهَاجِمْ
ظَالِمٍ خَؤُونْ
نِعْمَةُ الرَّبِّ الْعَظِيمَهْ
ضَعْفَنَا تُعِينْ
كَيْفَ نَخْشَى مِنْ هَزِيمَهْ
نَصْرُنَا مُبِينْ
هَا الْمَسِيحُ الرَّبُّ قَادِمْ
فَاحْفَظُوا الْحُصُونْ
لاَ تَخَافُوا مِنْ مُهَاجِمْ
ظَالِمٍ خَؤُونْ"
